time(ms),TVC_X_deg,TVC_Y_deg
10,0.25,0
10,0.5,0
10,0.75,0
10,1,0
10,1.25,0
10,1.5,0
10,1.75,0
10,2,0
10,2.25,0
10,2.5,0
10,2.75,0
10,3,0
10,3.25,0
10,3.5,0
10,3.75,0
10,4,0
10,4.25,0
10,4.5,0
10,4.75,0
10,5,0
10,5.25,0
10,5.5,0
10,5.75,0
10,6,0
10,6.25,0
10,6.5,0
10,6.75,0
10,7,0
10,7.25,0
10,7.5,0
10,7.75,0
10,8,0
10,8.25,0
10,8.5,0
10,8.75,0
10,9,0
10,9.25,0
10,9.5,0
10,9.75,0
10,10,0.25
10,10,0.5
10,10,0.75
10,10,1
10,10,1.25
10,10,1.5
10,10,1.75
10,10,2
10,10,2.25
10,10,2.5
10,10,2.75
10,10,3
10,10,3.25
10,10,3.5
10,10,3.75
10,10,4
10,10,4.25
10,10,4.5
10,10,4.75
10,10,5
10,10,5.25
10,10,5.5
10,10,5.75
10,10,6
10,10,6.25
10,10,6.5
10,10,6.75
10,10,7
10,10,7.25
10,10,7.5
10,10,7.75
10,10,8
10,10,8.25
10,10,8.5
10,10,8.75
10,10,9
10,10,9.25
10,10,9.5
10,10,9.75
10,10,10
10,9.75,10
10,9.5,10
10,9.25,10
10,9,10
10,8.75,10
10,8.5,10
10,8.25,10
10,8,10
10,7.75,10
10,7.5,10
10,7.25,10
10,7,10
10,6.75,10
10,6.5,10
10,6.25,10
10,6,10
10,5.75,10
10,5.5,10
10,5.25,10
10,5,10
10,4.75,10
10,4.5,10
10,4.25,10
10,4,10
10,3.75,10
10,3.5,10
10,3.25,10
10,3,10
10,2.75,10
10,2.5,10
10,2.25,10
10,2,10
10,1.75,10
10,1.5,10
10,1.25,10
10,1,10
10,0.75,10
10,0.5,10
10,0.25,10
10,0,10
10,-0.25,10
10,-0.5,10
10,-0.75,10
10,-1,10
10,-1.25,10
10,-1.5,10
10,-1.75,10
10,-2,10
10,-2.25,10
10,-2.5,10
10,-2.75,10
10,-3,10
10,-3.25,10
10,-3.5,10
10,-3.75,10
10,-4,10
10,-4.25,10
10,-4.5,10
10,-4.75,10
10,-5,10
10,-5.25,10
10,-5.5,10
10,-5.75,10
10,-6,10
10,-6.25,10
10,-6.5,10
10,-6.75,10
10,-7,10
10,-7.25,10
10,-7.5,10
10,-7.75,10
10,-8,10
10,-8.25,10
10,-8.5,10
10,-8.75,10
10,-9,10
10,-9.25,10
10,-9.5,10
10,-9.75,10
10,-10,10
10,-10,9.75
10,-10,9.5
10,-10,9.25
10,-10,9
10,-10,8.75
10,-10,8.5
10,-10,8.25
10,-10,8
10,-10,7.75
10,-10,7.5
10,-10,7.25
10,-10,7
10,-10,6.75
10,-10,6.5
10,-10,6.25
10,-10,6
10,-10,5.75
10,-10,5.5
10,-10,5.25
10,-10,5
10,-10,4.75
10,-10,4.5
10,-10,4.25
10,-10,4
10,-10,3.75
10,-10,3.5
10,-10,3.25
10,-10,3
10,-10,2.75
10,-10,2.5
10,-10,2.25
10,-10,2
10,-10,1.75
10,-10,1.5
10,-10,1.25
10,-10,1
10,-10,0.75
10,-10,0.5
10,-10,0.25
10,-10,0
10,-10,-0.25
10,-10,-0.5
10,-10,-0.75
10,-10,-1
10,-10,-1.25
10,-10,-1.5
10,-10,-1.75
10,-10,-2
10,-10,-2.25
10,-10,-2.5
10,-10,-2.75
10,-10,-3
10,-10,-3.25
10,-10,-3.5
10,-10,-3.75
10,-10,-4
10,-10,-4.25
10,-10,-4.5
10,-10,-4.75
10,-10,-5
10,-10,-5.25
10,-10,-5.5
10,-10,-5.75
10,-10,-6
10,-10,-6.25
10,-10,-6.5
10,-10,-6.75
10,-10,-7
10,-10,-7.25
10,-10,-7.5
10,-10,-7.75
10,-10,-8
10,-10,-8.25
10,-10,-8.5
10,-10,-8.75
10,-10,-9
10,-10,-9.25
10,-10,-9.5
10,-10,-9.75
10,-10,-10
10,-9.75,-10
10,-9.5,-10
10,-9.25,-10
10,-9,-10
10,-8.75,-10
10,-8.5,-10
10,-8.25,-10
10,-8,-10
10,-7.75,-10
10,-7.5,-10
10,-7.25,-10
10,-7,-10
10,-6.75,-10
10,-6.5,-10
10,-6.25,-10
10,-6,-10
10,-5.75,-10
10,-5.5,-10
10,-5.25,-10
10,-5,-10
10,-4.75,-10
10,-4.5,-10
10,-4.25,-10
10,-4,-10
10,-3.75,-10
10,-3.5,-10
10,-3.25,-10
10,-3,-10
10,-2.75,-10
10,-2.5,-10
10,-2.25,-10
10,-2,-10
10,-1.75,-10
10,-1.5,-10
10,-1.25,-10
10,-1,-10
10,-0.75,-10
10,-0.5,-10
10,-0.25,-10
10,0,-10
10,0.25,-10
10,0.5,-10
10,0.75,-10
10,1,-10
10,1.25,-10
10,1.5,-10
10,1.75,-10
10,2,-10
10,2.25,-10
10,2.5,-10
10,2.75,-10
10,3,-10
10,3.25,-10
10,3.5,-10
10,3.75,-10
10,4,-10
10,4.25,-10
10,4.5,-10
10,4.75,-10
10,5,-10
10,5.25,-10
10,5.5,-10
10,5.75,-10
10,6,-10
10,6.25,-10
10,6.5,-10
10,6.75,-10
10,7,-10
10,7.25,-10
10,7.5,-10
10,7.75,-10
10,8,-10
10,8.25,-10
10,8.5,-10
10,8.75,-10
10,9,-10
10,9.25,-10
10,9.5,-10
10,9.75,-10
10,10,-10
10,10,-9.75
10,10,-9.5
10,10,-9.25
10,10,-9
10,10,-8.75
10,10,-8.5
10,10,-8.25
10,10,-8
10,10,-7.75
10,10,-7.5
10,10,-7.25
10,10,-7
10,10,-6.75
10,10,-6.5
10,10,-6.25
10,10,-6
10,10,-5.75
10,10,-5.5
10,10,-5.25
10,10,-5
10,10,-4.75
10,10,-4.5
10,10,-4.25
10,10,-4
10,10,-3.75
10,10,-3.5
10,10,-3.25
10,10,-3
10,10,-2.75
10,10,-2.5
10,10,-2.25
10,10,-2
10,10,-1.75
10,10,-1.5
10,10,-1.25
10,10,-1
10,10,-0.75
10,10,-0.5
10,10,-0.25
10,10,0
10,9.75,0
10,9.5,0
10,9.25,0
10,9,0
10,8.75,0
10,8.5,0
10,8.25,0
10,8,0
10,7.75,0
10,7.5,0
10,7.25,0
10,7,0
10,6.75,0
10,6.5,0
10,6.25,0
10,6,0
10,5.75,0
10,5.5,0
10,5.25,0
10,5,0
10,4.75,0
10,4.5,0
10,4.25,0
10,4,0
10,3.75,0
10,3.5,0
10,3.25,0
10,3,0
10,2.75,0
10,2.5,0
10,2.25,0
10,2,0
10,1.75,0
10,1.5,0
10,1.25,0
10,1,0
10,0.75,0
10,0.5,0
10,0.25,0
10,0,0
