time(ms),TVC_X_deg,TVC_Y_deg
100,5,0.5
101,4.9,0.8
102,4.9,1
103,4.8,1.3
104,4.8,1.5
105,4.7,1.8
106,4.6,2
107,4.5,2.3
108,4.4,2.5
109,4.2,2.8
110,4.1,3
111,3.9,3.2
112,3.7,3.4
113,3.6,3.6
114,3.4,3.8
115,3.1,4
116,2.9,4.2
117,2.7,4.3
118,2.4,4.5
119,2.2,4.6
120,1.9,4.7
121,1.6,4.8
122,1.4,4.9
123,1.1,4.9
124,0.8,5
125,0.5,5
126,0.2,5
127,-0.2,5
128,-0.5,5
129,-0.8,4.9
130,-1.1,4.8
131,-1.4,4.7
132,-1.7,4.6
133,-2,4.5
134,-2.3,4.3
135,-2.6,4.2
136,-2.9,4
137,-3.1,3.8
138,-3.4,3.6
139,-3.6,3.3
140,-3.9,3.1
141,-4.1,2.8
142,-4.3,2.5
143,-4.4,2.2
144,-4.6,1.9
145,-4.7,1.6
146,-4.8,1.3
147,-4.9,0.9
148,-5,0.6
149,-5,0.2
150,-5,-0.1
151,-5,-0.5
152,-4.9,-0.8
153,-4.9,-1.2
154,-4.7,-1.5
155,-4.6,-1.9
156,-4.5,-2.2
157,-4.3,-2.6
158,-4.1,-2.9
159,-3.8,-3.2
160,-3.6,-3.5
161,-3.3,-3.7
162,-3,-4
163,-2.6,-4.2
164,-2.3,-4.4
165,-1.9,-4.6
166,-1.5,-4.7
167,-1.1,-4.8
168,-0.7,-4.9
169,-0.3,-5
170,0.1,-5
171,0.5,-5
172,0.9,-4.9
173,1.3,-4.8
174,1.7,-4.7
175,2.1,-4.6
176,2.5,-4.4
177,2.9,-4.1
178,3.2,-3.9
179,3.5,-3.6
180,3.8,-3.3
181,4.1,-2.9
182,4.3,-2.5
183,4.5,-2.1
184,4.7,-1.7
185,4.8,-1.2
186,4.9,-0.8
187,5,-0.3
188,5,0.1
189,5,0.6
190,4.9,1.1
191,4.8,1.5
192,4.6,2
193,4.4,2.4
194,4.2,2.8
195,3.9,3.2
196,3.6,3.6
197,3.2,3.9
198,2.8,4.2
199,2.4,4.4
200,2,4.6
201,1.5,4.8
202,1.1,4.9
203,0.6,5
204,0.1,5
205,-0.4,5
206,-0.9,4.9
207,-1.4,4.8
208,-1.9,4.6
209,-2.3,4.4
210,-2.8,4.1
211,-3.2,3.8
212,-3.6,3.4
213,-3.9,3
214,-4.2,2.6
215,-4.5,2.2
216,-4.7,1.7
217,-4.8,1.2
218,-4.9,0.7
219,-5,0.2
220,-5,-0.3
221,-4.9,-0.9
222,-4.8,-1.4
223,-4.6,-1.9
224,-4.4,-2.4
225,-4.1,-2.8
226,-3.8,-3.3
227,-3.4,-3.6
228,-2.9,-4
229,-2.5,-4.3
230,-2,-4.6
231,-1.4,-4.8
232,-0.9,-4.9
233,-0.3,-5
234,0.2,-5
235,0.8,-4.9
236,1.4,-4.8
237,1.9,-4.6
238,2.4,-4.4
239,2.9,-4.1
240,3.4,-3.7
241,3.8,-3.3
242,4.1,-2.8
243,4.4,-2.3
244,4.7,-1.7
245,4.9,-1.2
246,5,-0.6
247,5,0
248,5,0.7
249,4.9,1.3
250,4.7,1.9
251,4.4,2.4
252,4.1,2.9
253,3.7,3.4
254,3.3,3.8
255,2.8,4.2
256,2.2,4.5
257,1.7,4.8
258,1.1,4.9
259,0.4,5
260,-0.2,5
261,-0.8,4.9
262,-1.4,4.8
263,-2,4.5
264,-2.6,4.2
265,-3.1,3.8
266,-3.6,3.4
267,-4,2.9
268,-4.4,2.4
269,-4.7,1.8
270,-4.9,1.2
271,-5,0.5
272,-5,-0.1
273,-4.9,-0.8
274,-4.8,-1.4
275,-4.6,-2
276,-4.2,-2.6
277,-3.8,-3.2
278,-3.4,-3.6
279,-2.8,-4.1
280,-2.3,-4.4
281,-1.6,-4.7
282,-1,-4.9
283,-0.3,-5
284,0.4,-5
285,1.1,-4.9
286,1.8,-4.7
287,2.4,-4.4
288,3,-4
289,3.5,-3.6
290,4,-3
291,4.4,-2.4
292,4.7,-1.8
293,4.9,-1.1
294,5,-0.4
295,5,0.3
296,4.9,1.1
297,4.7,1.8
298,4.4,2.4
299,4,3.1
300,3.5,3.6
301,3,4.1
302,2.4,4.5
303,1.7,4.7
304,1,4.9
305,0.2,5
306,-0.5,5
307,-1.2,4.8
308,-1.9,4.6
309,-2.6,4.2
310,-3.2,3.8
311,-3.8,3.2
312,-4.2,2.6
313,-4.6,2
314,-4.8,1.3
315,-5,0.5
316,-5,-0.2
317,-4.9,-1
318,-4.7,-1.7
319,-4.4,-2.4
320,-3.9,-3.1
321,-3.4,-3.6
322,-2.8,-4.1
323,-2.1,-4.5
324,-1.4,-4.8
325,-0.6,-5
326,0.2,-5
327,1,-4.9
328,1.7,-4.7
329,2.5,-4.4
330,3.1,-3.9
331,3.7,-3.4
332,4.2,-2.7
333,4.6,-2
334,4.8,-1.2
335,5,-0.4
336,5,0.4
337,4.9,1.3
338,4.6,2
339,4.2,2.8
340,3.7,3.4
341,3.1,4
342,2.4,4.4
343,1.6,4.8
344,0.8,4.9
345,0,5
346,-0.8,4.9
347,-1.7,4.7
348,-2.4,4.3
349,-3.1,3.9
350,-3.7,3.3
351,-4.3,2.6
352,-4.6,1.8
353,-4.9,1
354,-5,0.2
355,-5,-0.7
356,-4.8,-1.5
357,-4.4,-2.3
358,-4,-3
359,-3.4,-3.7
360,-2.7,-4.2
361,-1.9,-4.6
362,-1.1,-4.9
363,-0.2,-5
364,0.7,-5
365,1.6,-4.8
366,2.4,-4.4
367,3.1,-3.9
368,3.8,-3.3
369,4.3,-2.6
